spp,scd,dbh,dbh_cm,tht,tht_m,stm,stm_kg,brk,brk_kg,bch,bch_kg,fol,fol_kg,agb,agb_kg,lon,lat
Pinus echinata,110,13.1,33.274,77,23.46845474,738.93,335.1156463,61.8,28.02721088,135.7,61.54195011,34.5,15.6462585,970.93,440.3310658,-83.0806,33.8809
Pinus echinata,110,7.8,19.812,58,17.67753734,186.64,84.64399093,27.38,12.41723356,33.1,15.01133787,10.9,4.943310658,258.02,117.015873,-81.1797,35.2948
Pinus echinata,110,5,12.7,46.6,14.20298689,95.71,43.40589569,11.68,5.297052154,5.68,2.575963719,1.83,0.829931973,114.9,52.10884354,-95.572,34.518
Pinus echinata,110,12.1,30.734,60,18.28710759,716.93,325.138322,81.21,36.82993197,185.77,84.24943311,30.18,13.68707483,1014.09,459.9047619,-95.572,34.518
Pinus echinata,110,6.2,15.748,51.7,15.75739104,160.88,72.96145125,26.28,11.91836735,12.62,5.723356009,5.03,2.281179138,204.81,92.88435374,-95.572,34.518
Pinus echinata,110,5,12.7,47.9,14.59920756,102.33,46.40816327,12.59,5.709750567,2.61,1.183673469,0.86,0.390022676,118.39,53.69160998,-95.572,34.518
Pinus echinata,110,3.3,8.382,36.2,11.03322158,30.69,13.91836735,4.55,2.063492063,1.41,0.639455782,0.66,0.299319728,37.31,16.92063492,-95.572,34.518
Pinus echinata,110,11.2,28.448,60.2,18.34806461,545.21,247.260771,70.05,31.76870748,60.29,27.34240363,13.38,6.068027211,688.93,312.4399093,-95.572,34.518
Pinus echinata,110,4.8,12.192,55,16.76318196,108.24,49.08843537,11.04,5.006802721,3.18,1.442176871,1.54,0.698412698,124,56.23582766,-95.572,34.518
Pinus echinata,110,9.1,23.114,52.1,15.87930509,350.05,158.7528345,49.56,22.47619048,77.7,35.23809524,17.64,8,494.95,224.4671202,-95.572,34.518
Pinus echinata,110,9.3,23.622,53.1,16.18409022,382.67,173.5464853,46.61,21.138322,46.35,21.02040816,13.45,6.099773243,489.08,221.8049887,-95.572,34.518
Pinus echinata,110,8,20.32,54.7,16.67174642,280.24,127.0929705,29.42,13.34240363,56.43,25.59183673,11.82,5.360544218,377.91,171.3877551,-95.572,34.518
Pinus echinata,110,11.8,29.972,59.1,18.01280098,593.36,269.0975057,72.37,32.82086168,95.89,43.48752834,18.92,8.580498866,780.54,353.9863946,-95.572,34.518
Pinus echinata,110,7.9,20.066,55.3,16.85461749,278.63,126.3628118,28.53,12.93877551,26.53,12.03174603,6.68,3.029478458,340.37,154.3628118,-95.572,34.518
Pinus echinata,110,10.6,26.924,57.3,17.46418775,506.21,229.5736961,63.18,28.65306122,71.77,32.54875283,12.96,5.87755102,654.12,296.6530612,-95.572,34.518
Pinus echinata,110,6.7,17.018,49.3,15.02590674,164.92,74.79365079,30.5,13.83219955,12.09,5.482993197,3.24,1.469387755,210.75,95.57823129,-95.572,34.518
Pinus echinata,110,8.5,21.59,59.1,18.01280098,393.97,178.6712018,38.56,17.48752834,54.77,24.83900227,10.8,4.897959184,498.1,225.8956916,-95.572,34.518
Pinus echinata,110,5.4,13.716,48.7,14.84303566,123.46,55.99092971,17.18,7.79138322,16.15,7.324263039,5.29,2.399092971,162.08,73.50566893,-95.572,34.518
Pinus echinata,110,11.2,28.448,63.4,19.32337702,544.17,246.7891156,60.75,27.55102041,80.24,36.39002268,18.01,8.167800454,703.17,318.8979592,-95.572,34.518
Pinus echinata,110,5.5,13.97,59.8,18.22615056,131.33,59.5600907,17.41,7.89569161,7.98,3.619047619,3.51,1.591836735,160.23,72.66666667,-95.572,34.518
Pinus echinata,110,1.1,2.794,15.9,4.846083511,2.06,0.934240363,0.45,0.204081633,0.14,0.063492063,0.22,0.099773243,2.87,1.301587302,-95.572,34.518
Pinus echinata,110,6.3,16.002,50.7,15.45260591,179.59,81.44671202,23.28,10.55782313,12.91,5.854875283,3.42,1.551020408,219.2,99.41043084,-95.572,34.518
Pinus echinata,110,10.6,26.924,61.7,18.8052423,560.8,254.3310658,63.3,28.70748299,90.93,41.23809524,20.5,9.297052154,735.53,333.5736961,-95.572,34.518
Pinus echinata,110,7.6,19.304,55,16.76318196,284.4,128.9795918,32.08,14.54875283,34.93,15.84126984,7.5,3.401360544,358.91,162.7709751,-95.572,34.518
Pinus echinata,110,9.2,23.368,59.5,18.13471503,434.84,197.2063492,56.39,25.57369615,60.53,27.45124717,14.2,6.439909297,565.96,256.6712018,-95.572,34.518
Pinus echinata,110,10.6,26.924,56.7,17.28131667,555.45,251.9047619,56.57,25.6553288,98.54,44.6893424,20.39,9.247165533,730.95,331.4965986,-95.572,34.518
Pinus echinata,110,4.7,11.938,47.8,14.56872905,101.61,46.08163265,11.21,5.083900227,7.92,3.591836735,2.73,1.238095238,123.47,55.99546485,-95.572,34.518
Pinus echinata,110,9.3,23.622,58.3,17.76897287,351.82,159.5555556,53.45,24.24036281,25.56,11.59183673,8.31,3.768707483,439.14,199.1564626,-95.572,34.518
Pinus echinata,110,6.1,15.494,45.1,13.7458092,109.82,49.80498866,21.74,9.859410431,6.52,2.9569161,3.24,1.469387755,141.32,64.09070295,-95.572,34.518
Pinus echinata,110,7.5,19.05,56.9,17.3422737,271.07,122.9342404,36.48,16.54421769,22.65,10.27210884,5.97,2.707482993,336.17,152.4580499,-95.572,34.518
Pinus echinata,110,10.6,26.924,59.7,18.19567205,536.83,243.4603175,64.79,29.38321995,64.19,29.11111111,12.72,5.768707483,678.53,307.723356,-95.572,34.518
Pinus echinata,110,11.6,29.464,57,17.37275221,562.9,255.2834467,81.55,36.98412698,95.78,43.43764172,21.87,9.918367347,762.1,345.6235828,-95.572,34.518
Pinus echinata,110,8.5,21.59,54.8,16.70222493,290.97,131.9591837,48.95,22.19954649,30.57,13.86394558,13.27,6.01814059,383.76,174.0408163,-95.572,34.518
Pinus echinata,110,1.8,4.572,14.9,4.541298385,4.75,2.154195011,0.58,0.263038549,0.15,0.068027211,0.2,0.090702948,5.68,2.575963719,-95.572,34.518
Pinus echinata,110,7.4,18.796,57.4,17.49466626,250.7,113.6961451,26.33,11.94104308,32.6,14.7845805,7.78,3.528344671,317.41,143.9501134,-95.572,34.518
Pinus echinata,110,8.5,21.59,57.2,17.43370923,332.89,150.9705215,52.09,23.62358277,62.45,28.32199546,14.13,6.408163265,461.56,209.324263,-95.572,34.518
Pinus echinata,110,8.8,22.352,55.8,17.00701006,415.1,188.2539683,45.75,20.74829932,62.6,28.39002268,16.31,7.396825397,539.76,244.7891156,-95.572,34.518
Pinus echinata,110,11.2,28.448,61.4,18.71380677,616.11,279.414966,65.64,29.76870748,109.38,49.60544218,20.37,9.238095238,811.5,368.0272109,-95.572,34.518
Pinus echinata,110,4.4,11.176,37.7,11.49039927,64.35,29.18367347,11.25,5.102040816,3.29,1.492063492,1.63,0.739229025,80.52,36.5170068,-95.572,34.518
Pinus echinata,110,9.4,23.876,59.6,18.16519354,399.4,181.1337868,38.23,17.33786848,68.62,31.12018141,13.71,6.217687075,519.96,235.8095238,-95.572,34.518
Pinus echinata,110,11.3,28.702,59.9,18.25662908,489.49,221.9909297,81.1,36.78004535,60.44,27.41043084,14.42,6.53968254,645.45,292.7210884,-95.572,34.518
